name,time,area,energyPrice,usage,scale,price,nbFloors,production,consumption
building782,100.0,148.35807163297568,0.0,R,M,2.0,6.0,0.0,12749.387444333588
building783,100.0,54.097415463371654,0.0,R,S,1.0,6.0,0.0,2954.640850104525
building784,100.0,170.02397249983017,0.0,O,S,6.0,6.0,0.0,3824.147973054747
building785,100.0,598.8633604814688,0.0,O,S,6.0,6.0,0.0,9703.972409392958
building786,100.0,240.00089574878058,0.0,O,M,7.0,6.0,0.0,4887.7447922227275
building787,100.0,352.5120521424125,0.0,O,M,7.0,6.0,0.0,6480.648642372314
building788,100.0,236.88284454281677,0.0,O,M,7.0,6.0,0.0,4841.831252938159
building789,100.0,442.73857336080545,0.0,O,M,7.0,6.0,0.0,7693.013987005751
building790,100.0,356.100461204149,0.0,O,M,7.0,6.0,0.0,6529.786237418808
building791,100.0,164.6191569065517,0.0,R,M,2.0,6.0,0.0,13707.954916562252
building792,100.0,510.40789280665547,0.0,R,M,2.0,6.0,0.0,31445.18046556631
building793,100.0,169.56461726741628,0.0,O,S,6.0,7.0,0.0,4453.043896802603
building794,100.0,515.9486623178642,0.0,O,M,7.0,6.0,0.0,8647.423931276402
building795,100.0,3016.4874990341086,0.0,R,L,3.0,7.0,0.0,372466.6363756224
building796,100.0,741.1349784499115,0.0,R,L,3.0,7.0,0.0,115978.1295307092
building797,100.0,841.4446935236152,0.0,R,L,3.0,7.0,0.0,128290.77170323273
building798,100.0,0.4612088531487757,0.0,O,M,7.0,6.0,0.0,71.47030583434736
building799,100.0,0.02778671692502305,0.0,O,M,7.0,6.0,0.0,5.086062210381417
building800,100.0,207.9526298998758,0.0,O,S,6.0,3.0,0.0,2204.926501383002
building801,100.0,162.5987792440498,0.0,O,S,6.0,3.0,0.0,1853.1864891277512
building802,100.0,53.14902021937942,0.0,O,S,6.0,3.0,0.0,876.3604910931205
building803,100.0,403.8672455645665,0.0,R,M,2.0,4.0,0.0,17541.95944980974
building804,100.0,348.09675022788423,0.0,R,M,2.0,4.0,0.0,15693.503601657367
building805,100.0,244.6746223618306,0.0,R,S,1.0,4.0,0.0,5507.054566126335
building806,100.0,231.8526968490178,0.0,R,S,1.0,4.0,0.0,5297.234913757109
building807,100.0,0.05757170864299607,0.0,R,M,2.0,7.0,0.0,44.47085289507733
building808,100.0,0.3351302908818994,0.0,R,L,3.0,6.0,0.0,469.6496042908946
building809,100.0,7.30541028453875,0.0,O,L,10.0,6.0,0.0,855.0195065810252
building810,100.0,1127.389003865009,0.0,R,L,3.0,7.0,0.0,162466.93692950983
building811,100.0,1142.919921567087,0.0,R,L,3.0,7.0,0.0,164291.6187765814
building812,100.0,751.0430468717176,0.0,O,M,7.0,6.0,0.0,11591.559562831399
building813,100.0,802.294455133363,0.0,O,M,7.0,6.0,0.0,12215.18811788828
building814,100.0,185.80994334700685,0.0,R,M,2.0,7.0,0.0,17414.597916665218
building815,100.0,335.9083471983298,0.0,R,M,2.0,7.0,0.0,26745.28168728115
building816,100.0,258.3167187257352,0.0,R,M,2.0,7.0,0.0,22052.691342291197
building817,100.0,294.70212587604607,0.0,R,M,2.0,6.0,0.0,20812.485329760315
building818,100.0,452.206054403094,0.0,R,M,2.0,6.0,0.0,28665.08220076426
building819,100.0,376.41325203270054,0.0,R,M,2.0,6.0,0.0,24956.704908201547
building820,100.0,74.65379948011947,0.0,R,S,1.0,5.0,0.0,3036.4809355910684
building821,100.0,138.87050986192884,0.0,R,M,2.0,6.0,0.0,12179.292538047952
building822,100.0,217.86434360404022,0.0,R,M,2.0,6.0,0.0,16716.804872928788
building823,100.0,303.48103666644636,0.0,R,M,2.0,6.0,0.0,21266.668459980232
building824,100.0,312.5591097578538,0.0,R,M,2.0,6.0,0.0,21733.83779277047
building825,100.0,504.3219472882199,0.0,R,M,2.0,6.0,0.0,31156.858770487186
building826,100.0,710.0241219621729,0.0,R,M,2.0,6.0,0.0,40657.464031330586
building827,100.0,308.045259657601,0.0,R,M,2.0,6.0,0.0,21501.858939601418
building828,100.0,234.63259615789224,0.0,R,M,2.0,6.0,0.0,17631.616845657183
building829,100.0,159.3918678827876,0.0,R,M,2.0,6.0,0.0,13402.198562879867
building830,100.0,322.25311585634284,0.0,R,M,2.0,6.0,0.0,22230.029924992366
building831,100.0,326.078247196426,0.0,R,M,2.0,6.0,0.0,22425.087998349652
building832,100.0,355.3302060592238,0.0,R,M,2.0,7.0,0.0,27887.885700695013
building833,100.0,194.39757226641564,0.0,R,M,2.0,7.0,0.0,17980.900373220964
building834,100.0,158.38718057532677,0.0,R,M,2.0,7.0,0.0,15567.045010273607
building835,100.0,202.93527438412605,0.0,R,M,2.0,7.0,0.0,18538.778680941694
building836,100.0,204.19025045603314,0.0,R,M,2.0,7.0,0.0,18620.370996748487
building837,100.0,485.9297102589496,0.0,R,M,2.0,6.0,0.0,30282.261844872017
building838,100.0,242.7838684620331,0.0,R,M,2.0,6.0,0.0,18071.629354416214
building839,100.0,231.20895357115427,0.0,R,M,2.0,6.0,0.0,17445.917294564504
building840,100.0,871.2945815928417,0.0,R,M,2.0,6.0,0.0,47838.23137805729
building841,100.0,184.57473369654215,0.0,R,S,1.0,6.0,0.0,6752.99864928065
building842,100.0,403.48939403959747,0.0,R,M,2.0,7.0,0.0,30676.775753101985
building843,100.0,197.37870608620466,0.0,R,M,2.0,7.0,0.0,18176.260511691136
building844,100.0,207.73976089257337,0.0,R,S,1.0,5.0,0.0,6120.321505641038
building845,100.0,183.77000846215142,0.0,R,S,1.0,6.0,0.0,6732.185656033953
building846,100.0,1840.7086474804569,0.0,R,S,1.0,6.0,0.0,40223.74182723281
building847,100.0,383.74376283421134,0.0,O,M,7.0,7.0,0.0,8056.491377755657
building848,100.0,760.0929196163935,0.0,O,M,7.0,7.0,0.0,13652.41841661081
building849,100.0,270.5270779771539,0.0,O,M,7.0,7.0,0.0,6220.014281205995
building850,100.0,1006.8673622222334,0.0,O,L,10.0,7.0,0.0,28501.08410807065
building851,100.0,216.04143878306678,0.0,O,S,6.0,4.0,0.0,3021.186234732989
building852,100.0,410.61856570408486,0.0,O,S,6.0,4.0,0.0,4844.379000891035
building853,100.0,560.2546083994922,0.0,O,S,6.0,4.0,0.0,6143.245876121733
building854,100.0,392.05691364671577,0.0,O,M,7.0,6.0,0.0,7017.667638319669
building855,100.0,755.5657895520336,0.0,R,M,2.0,6.0,0.0,42704.97455998182
building856,100.0,646.3065624930983,0.0,R,M,2.0,6.0,0.0,37762.518663236595
building857,100.0,1744.5783097054898,0.0,O,L,10.0,7.0,0.0,44855.800785642765
building858,100.0,522.3008131155223,0.0,O,L,10.0,7.0,0.0,16973.468534611493
building859,100.0,1558.3458396358276,0.0,O,L,10.0,7.0,0.0,40810.067514300594
building860,100.0,5719.917389402877,0.0,O,L,10.0,7.0,0.0,126043.41690801879
building861,100.0,544.824017748306,0.0,O,M,7.0,6.0,0.0,9018.027712241914
building862,100.0,934.305544045985,0.0,O,M,7.0,6.0,0.0,13799.026964067903
building863,100.0,600.853889632389,0.0,O,M,7.0,4.0,0.0,6486.042017818667
building864,100.0,128.87235341431978,0.0,O,M,7.0,5.0,0.0,2629.262478408351
building865,100.0,1191.96182182145,0.0,O,M,7.0,6.0,0.0,16816.68466376583
building866,100.0,849.4504885504972,0.0,R,L,3.0,6.0,0.0,110798.6099333872
building867,100.0,517.4332195267315,0.0,R,L,3.0,6.0,0.0,75110.11903448461
